feature_set        , model        , num_features, MAE               , RMSE              , R2
lag_static_extended, Random Forest,            9,  8.302839598326582, 13.16030919707934 , 0.7371270006343547
lag_demand_temporal, Random Forest,            4,  9.013198731799752, 14.305302661839463, 0.6893953909427324
lag_demand_peak    , Random Forest,            2, 10.120654054744877, 15.445710664929996, 0.6378991161793474
temporal_peak      , Random Forest,            3, 11.1697974363604  , 18.29864033528215 , 0.49178036898648103
lag_demand_weather , Random Forest,            5, 12.074244457098697, 18.07964376457652 , 0.5038722347973035
lag_static_extended, XGBoost      ,            9,  8.354251861572266, 13.13917401044517 , 0.7379707098007202
lag_demand_temporal, XGBoost      ,            4,  8.907806396484375, 14.218325564578677, 0.693160891532898
lag_demand_peak    , XGBoost      ,            2, 10.232955932617188, 15.543187180389014, 0.6333143711090088
temporal_peak      , XGBoost      ,            3, 11.19632625579834 , 18.344256574404376, 0.48924338817596436
lag_demand_weather , XGBoost      ,            5, 13.583883285522461, 19.99615670470164 , 0.39311444759368896
